date,delta deaths it,delta healings it,delta infections it
2021-04-01,501,20712,22184
2021-04-02,481,19620,21917
2021-04-03,376,21311,21247
2021-04-04,326,13511,18017
2021-04-05,296,9323,10680
2021-04-06,421,21733,7763
2021-04-07,627,20927,13686
2021-04-08,487,20229,17209
2021-04-09,718,26175,18924
2021-04-10,344,20483,17551
2021-04-11,331,15486,15737
2021-04-12,358,18010,9780
2021-04-13,476,18160,13439
2021-04-14,469,20251,16160
2021-04-15,380,21220,16963
2021-04-16,429,18779,15923
2021-04-17,310,16484,15364
2021-04-18,251,13134,12688
2021-04-19,316,19669,8863
2021-04-20,390,22453,12069
2021-04-21,364,20552,13836
2021-04-22,360,19125,16046
2021-04-23,342,21069,14758
2021-04-24,322,17587,13814
2021-04-25,217,13176,13157
2021-04-26,301,16539,8440
2021-04-27,373,14688,10398
2021-04-28,344,18416,13382
2021-04-29,288,18128,14314
2021-04-30,263,15581,13445
